model,target,mae,rmse,r2_score,accuracy_percent,training_time_sec
Ridge Regression,TurbineHealth,0.012360101938492518,0.01837248375044615,0.8889701193968025,88.89701193968025,0.005263566970825195
Random Forest,TurbineHealth,0.013051378511597028,0.01875994869531774,0.8842376267786313,88.42376267786312,1.3818299770355225
Extra Trees,TurbineHealth,0.013716630236179866,0.01916700169375139,0.8791595061788012,87.91595061788013,0.7590367794036865
Gradient Boosting,TurbineHealth,0.015103904957711438,0.020950485218539226,0.8556248991871322,85.56248991871323,0.5046875476837158
XGBoost,TurbineHealth,0.014194442469784223,0.02010972140412914,0.8669802164112087,86.69802164112087,0.2852652072906494
LightGBM,TurbineHealth,0.015401185566888128,0.021054518836149252,0.854187495149128,85.41874951491279,0.15761470794677734
CatBoost,TurbineHealth,0.015151492261872122,0.020941382656115417,0.8557503280600991,85.57503280600992,0.62526535987854
Linear Regression,OverallHealth,0.010307692610979672,0.01527259009605809,0.923039467807655,92.3039467807655,0.004206657409667969
Ridge Regression,OverallHealth,0.010254931169568307,0.01505510868507927,0.9252156951903394,92.52156951903395,0.004105091094970703
Random Forest,OverallHealth,0.009833014214903459,0.014722072806945612,0.9284877252243185,92.84877252243186,1.0677852630615234
Extra Trees,OverallHealth,0.010125566974238831,0.014582019185649832,0.9298418705728928,92.98418705728928,0.6435940265655518
Gradient Boosting,OverallHealth,0.01087608246743305,0.016267002702547575,0.912691254459619,91.26912544596189,0.5397071838378906
XGBoost,OverallHealth,0.010396318036017767,0.01538284497461364,0.9219242801094965,92.19242801094964,0.3195974826812744
LightGBM,OverallHealth,0.011582772123226618,0.015587649262051773,0.9198314698738865,91.98314698738865,0.16321563720703125
CatBoost,OverallHealth,0.01061597620156503,0.014915620017506948,0.9265950592275803,92.65950592275803,0.6353886127471924
Linear Regression,Thrust_N,2920.686092519073,4751.009428224838,0.9069462592606617,90.69462592606618,0.004629373550415039
Ridge Regression,Thrust_N,1468.4240031632828,2217.662463166414,0.9797253697400878,97.97253697400879,0.005938053131103516
Random Forest,Thrust_N,2290.9601323120523,2945.2940511809297,0.9642381998158356,96.42381998158356,1.4310743808746338
Extra Trees,Thrust_N,1997.4713341106187,2511.9473659784403,0.9739874383683483,97.39874383683484,0.9370090961456299
Gradient Boosting,Thrust_N,1543.9133830549276,1914.3118691813806,0.9848926797374736,98.48926797374736,0.8656375408172607
XGBoost,Thrust_N,1942.0063921840876,2367.7500723584512,0.9768882000906851,97.68882000906851,0.2899904251098633
LightGBM,Thrust_N,1754.3316263642012,2133.46810225088,0.9812356139244837,98.12356139244837,0.22731328010559082
CatBoost,Thrust_N,1397.2663709768187,1797.695882579667,0.9866772309560173,98.66772309560173,0.5534482002258301
Linear Regression,TSFC_g_N_s,0.0008259459274655411,0.0011369322271944568,0.9711917677414413,97.11917677414414,0.003725290298461914
Ridge Regression,TSFC_g_N_s,0.000633401403177503,0.0008618879750352646,0.9834442408900931,98.34442408900931,0.004431486129760742
Random Forest,TSFC_g_N_s,0.0007768195327706249,0.0009462854475781557,0.9800431598673379,98.00431598673379,0.8418550491333008
Extra Trees,TSFC_g_N_s,0.000708905165915886,0.000875135987675188,0.9829313747834711,98.29313747834712,0.5367283821105957
Gradient Boosting,TSFC_g_N_s,0.0005404962921763518,0.0007057065034704681,0.9889006973144001,98.89006973144001,0.4720315933227539
XGBoost,TSFC_g_N_s,0.0005924339173322165,0.0007322617538032466,0.9880496628370959,98.80496628370959,0.14895272254943848
LightGBM,TSFC_g_N_s,0.0005903330088995541,0.0007803539031276066,0.9864284119229633,98.64284119229633,0.13356566429138184
CatBoost,TSFC_g_N_s,0.0004118304474932902,0.0005555401766582748,0.9931217429685223,99.31217429685223,0.5035536289215088
